countyfip,city,sex,age,language,poverty,diffrem,diffphys,diffmob,diffcare,diffeye,diffhear,vetstat,raceethn,diffany
0,not in identifiable city (or size group),male,4,n/a or blank,373,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
27,not in identifiable city (or size group),male,2,n/a or blank,310,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,1,n/a or blank,332,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,2,n/a or blank,490,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,less than 1 year old,n/a or blank,0,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,2,n/a or blank,323,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,3,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,4,n/a or blank,0,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,3,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,2,n/a or blank,317,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
27,not in identifiable city (or size group),male,4,n/a or blank,450,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,1,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,2,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
17,not in identifiable city (or size group),male,4,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,2,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,less than 1 year old,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,2,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
27,not in identifiable city (or size group),male,1,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,4,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,3,n/a or blank,141,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
9,not in identifiable city (or size group),male,4,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
17,not in identifiable city (or size group),male,3,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,1,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,2,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,3,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
9,not in identifiable city (or size group),male,less than 1 year old,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
27,not in identifiable city (or size group),male,less than 1 year old,n/a or blank,478,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,1,n/a or blank,182,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
23,not in identifiable city (or size group),male,2,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
27,not in identifiable city (or size group),male,2,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,3,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
23,not in identifiable city (or size group),male,less than 1 year old,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,2,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,1,n/a or blank,376,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
21,not in identifiable city (or size group),male,less than 1 year old,n/a or blank,474,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,2,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,1,n/a or blank,289,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
27,not in identifiable city (or size group),male,3,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
17,not in identifiable city (or size group),male,2,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,4,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
17,not in identifiable city (or size group),male,less than 1 year old,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
21,not in identifiable city (or size group),male,3,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,less than 1 year old,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
17,not in identifiable city (or size group),male,less than 1 year old,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,3,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
17,not in identifiable city (or size group),male,less than 1 year old,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
21,not in identifiable city (or size group),male,1,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,4,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,3,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
17,not in identifiable city (or size group),male,3,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,1,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,less than 1 year old,n/a or blank,380,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
9,not in identifiable city (or size group),male,1,n/a or blank,44,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,2,n/a or blank,436,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
27,not in identifiable city (or size group),male,4,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,less than 1 year old,n/a or blank,304,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
17,not in identifiable city (or size group),male,2,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,3,n/a or blank,103,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,4,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,3,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,4,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,2,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
27,not in identifiable city (or size group),male,4,n/a or blank,299,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,1,n/a or blank,359,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,less than 1 year old,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
17,not in identifiable city (or size group),male,1,n/a or blank,358,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
21,not in identifiable city (or size group),male,1,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
5,not in identifiable city (or size group),male,less than 1 year old,n/a or blank,488,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,less than 1 year old,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,3,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
17,not in identifiable city (or size group),male,4,n/a or blank,351,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,3,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,3,n/a or blank,460,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
17,not in identifiable city (or size group),male,less than 1 year old,n/a or blank,487,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,3,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,2,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,1,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,3,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,1,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
21,not in identifiable city (or size group),male,1,n/a or blank,421,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,4,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,1,n/a or blank,202,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,4,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,3,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
9,not in identifiable city (or size group),male,3,n/a or blank,261,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,less than 1 year old,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,1,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
3,not in identifiable city (or size group),male,1,n/a or blank,246,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
17,not in identifiable city (or size group),male,1,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,2,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,4,n/a or blank,488,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
21,not in identifiable city (or size group),male,less than 1 year old,n/a or blank,425,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
3,not in identifiable city (or size group),male,2,n/a or blank,167,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,2,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,1,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,2,n/a or blank,38,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,3,n/a or blank,413,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,2,n/a or blank,1,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,less than 1 year old,n/a or blank,385,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
3,not in identifiable city (or size group),male,less than 1 year old,n/a or blank,460,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,less than 1 year old,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,3,n/a or blank,380,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
27,not in identifiable city (or size group),male,4,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,1,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,1,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,2,n/a or blank,379,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
9,not in identifiable city (or size group),male,4,n/a or blank,5,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,2,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
23,not in identifiable city (or size group),male,4,n/a or blank,448,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
21,not in identifiable city (or size group),male,4,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,1,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
23,not in identifiable city (or size group),male,less than 1 year old,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,1,n/a or blank,446,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
9,not in identifiable city (or size group),male,less than 1 year old,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
23,not in identifiable city (or size group),male,1,n/a or blank,173,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,3,n/a or blank,293,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
17,not in identifiable city (or size group),male,1,n/a or blank,50,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
17,not in identifiable city (or size group),male,3,n/a or blank,404,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
27,not in identifiable city (or size group),male,less than 1 year old,n/a or blank,193,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,less than 1 year old,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
5,not in identifiable city (or size group),male,3,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,1,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
13,not in identifiable city (or size group),male,4,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
27,not in identifiable city (or size group),male,4,n/a or blank,352,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
9,not in identifiable city (or size group),male,less than 1 year old,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,2,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,3,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,1,n/a or blank,229,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,4,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,1,n/a or blank,40,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,3,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
13,not in identifiable city (or size group),male,1,n/a or blank,140,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,3,n/a or blank,333,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
27,not in identifiable city (or size group),male,3,n/a or blank,289,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
5,not in identifiable city (or size group),male,2,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
5,not in identifiable city (or size group),male,4,n/a or blank,75,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,2,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,less than 1 year old,n/a or blank,337,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,2,n/a or blank,373,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
21,not in identifiable city (or size group),male,1,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,3,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
27,not in identifiable city (or size group),male,less than 1 year old,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,1,n/a or blank,480,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,less than 1 year old,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
27,not in identifiable city (or size group),male,less than 1 year old,n/a or blank,265,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
23,not in identifiable city (or size group),male,3,n/a or blank,98,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,4,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,3,n/a or blank,336,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,2,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,3,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
17,not in identifiable city (or size group),male,2,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,2,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,2,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
13,not in identifiable city (or size group),male,less than 1 year old,n/a or blank,346,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,1,n/a or blank,198,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
17,not in identifiable city (or size group),male,less than 1 year old,n/a or blank,360,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
3,not in identifiable city (or size group),male,4,n/a or blank,302,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
21,not in identifiable city (or size group),male,4,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,1,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
23,not in identifiable city (or size group),male,less than 1 year old,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,3,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,1,n/a or blank,366,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,2,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,3,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,1,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
23,not in identifiable city (or size group),male,4,n/a or blank,281,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
9,not in identifiable city (or size group),male,4,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,2,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,3,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,1,n/a or blank,184,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,less than 1 year old,n/a or blank,357,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
17,not in identifiable city (or size group),male,3,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,less than 1 year old,n/a or blank,1,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,less than 1 year old,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
27,not in identifiable city (or size group),male,1,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
23,not in identifiable city (or size group),male,4,n/a or blank,358,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,less than 1 year old,n/a or blank,494,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
23,not in identifiable city (or size group),male,3,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
23,not in identifiable city (or size group),male,3,n/a or blank,437,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,less than 1 year old,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,3,n/a or blank,392,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,1,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
27,not in identifiable city (or size group),male,4,n/a or blank,434,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
17,not in identifiable city (or size group),male,4,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,less than 1 year old,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,3,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,2,n/a or blank,128,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
17,not in identifiable city (or size group),male,4,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
9,not in identifiable city (or size group),male,less than 1 year old,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,2,n/a or blank,422,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
27,not in identifiable city (or size group),male,less than 1 year old,n/a or blank,309,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,3,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,3,n/a or blank,381,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
27,not in identifiable city (or size group),male,2,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,less than 1 year old,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,4,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
3,not in identifiable city (or size group),male,1,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,2,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,4,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
27,not in identifiable city (or size group),male,1,n/a or blank,83,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,1,n/a or blank,317,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,2,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,less than 1 year old,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
5,not in identifiable city (or size group),male,4,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,1,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,3,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,1,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,4,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
0,not in identifiable city (or size group),male,1,n/a or blank,501,n/a,n/a,n/a,n/a,no,no,n/a,White NH,0
